------------------------
------------------------
31/8/2020 10:1:22 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=83432076, rssi=-25, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=17, tx_frequency=868000000)
31/8/2020 10:1:25 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=83432076, rssi=-25, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=18, tx_frequency=868000000)
31/8/2020 10:1:27 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=88245083, rssi=-24, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=19, tx_frequency=868000000)
31/8/2020 10:1:30 msg Discover normal 3 3c71bf877510 stats (rx_timestamp=92053378, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=20, tx_frequency=868000000)
31/8/2020 10:1:33 msg Discover normal 3 3c71bf877510 stats (rx_timestamp=92053378, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=21, tx_frequency=868000000)
31/8/2020 10:1:35 msg Discover normal 3 3c71bf877510 stats (rx_timestamp=95316118, rssi=-19, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=22, tx_frequency=868000000)
31/8/2020 10:1:38 msg Discover normal 3 3c71bf877510 stats (rx_timestamp=99204397, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=23, tx_frequency=868000000)
31/8/2020 10:1:41 msg Discover normal 4 3c71bf877510 stats (rx_timestamp=99204397, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=24, tx_frequency=868000000)
31/8/2020 10:1:43 msg Discover normal 4 3c71bf877510 stats (rx_timestamp=104461393, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=25, tx_frequency=868000000)
31/8/2020 10:1:46 msg Discover normal 4 3c71bf877510 stats (rx_timestamp=104461393, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=26, tx_frequency=868000000)
31/8/2020 10:1:49 msg Discover normal 4 3c71bf877510 stats (rx_timestamp=110834132, rssi=-24, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=27, tx_frequency=868000000)
31/8/2020 10:1:51 msg Discover normal 5 3c71bf877510 stats (rx_timestamp=110834132, rssi=-24, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=28, tx_frequency=868000000)
31/8/2020 10:1:54 msg Discover normal 5 3c71bf877510 stats (rx_timestamp=115194412, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=29, tx_frequency=868000000)
31/8/2020 10:1:57 msg Discover normal 5 3c71bf877510 stats (rx_timestamp=115194412, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=30, tx_frequency=868000000)
31/8/2020 10:1:59 msg Discover normal 5 3c71bf877510 stats (rx_timestamp=120319410, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=31, tx_frequency=868000000)
31/8/2020 10:2:2 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=120319410, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=32, tx_frequency=868000000)
31/8/2020 10:2:5 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=126796409, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=33, tx_frequency=868000000)
31/8/2020 10:2:7 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=126796409, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=34, tx_frequency=868000000)
31/8/2020 10:2:10 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=130980421, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=35, tx_frequency=868000000)
31/8/2020 10:2:13 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=130980421, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=36, tx_frequency=868000000)
31/8/2020 10:2:15 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=135748419, rssi=-57, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=37, tx_frequency=868000000)
31/8/2020 10:2:18 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=135748419, rssi=-57, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=38, tx_frequency=868000000)
31/8/2020 10:2:21 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=140642422, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=39, tx_frequency=868000000)
31/8/2020 10:2:23 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=144306428, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=40, tx_frequency=868000000)
31/8/2020 10:2:26 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=147215271, rssi=-19, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=41, tx_frequency=868000000)
31/8/2020 10:2:29 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=147215271, rssi=-19, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=42, tx_frequency=868000000)
31/8/2020 10:2:31 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=153500443, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=43, tx_frequency=868000000)
31/8/2020 10:2:34 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=155910439, rssi=-54, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=44, tx_frequency=868000000)
31/8/2020 10:2:37 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=158507320, rssi=-19, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=45, tx_frequency=868000000)
31/8/2020 10:2:39 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=158507320, rssi=-19, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=46, tx_frequency=868000000)
31/8/2020 10:2:42 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=161959334, rssi=-14, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=47, tx_frequency=868000000)
31/8/2020 10:2:45 msg Discover normal 10 3c71bf877510 stats (rx_timestamp=165632452, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=48, tx_frequency=868000000)
31/8/2020 10:2:47 msg Discover normal 10 3c71bf877510 stats (rx_timestamp=165632452, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=49, tx_frequency=868000000)
