------------------------
15/9/2020 0:17:16 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1038599536, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:24 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1046628527, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:27 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1049320522, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:31 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1052985519, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:32 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1054674510, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:36 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1058354517, rssi=-99, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:39 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1061045504, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:40 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1062723501, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:44 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1066396494, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:46 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1068088502, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:48 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1070758493, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:51 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1073430486, rssi=-99, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:54 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1076139483, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:57 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1079808480, rssi=-99, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:18:3 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1085170473, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:18:6 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1087854539, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:18:8 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1090541528, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:18:11 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1093208529, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:18:12 msg Discover normal 11 3c71bf877510 stats (rx_timestamp=1094659377, rssi=-125, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:18:16 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1098564517, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:18:18 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1100241517, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:18:22 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1103922511, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:18:23 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1105607513, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:18:27 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1109273504, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:18:29 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1110945504, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:18:31 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=1113407244, rssi=-125, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:18:31 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1113627494, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:18:34 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1115871495, rssi=-99, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=249, tx_frequency=868000000)
15/9/2020 0:18:36 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=1118790204, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=249, tx_frequency=868000000)
15/9/2020 0:18:39 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1121699487, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=250, tx_frequency=868000000)
15/9/2020 0:18:42 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1124337479, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=250, tx_frequency=868000000)
15/9/2020 0:18:44 msg Discover end 2 2 stats (rx_timestamp=1126435313, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=250, tx_frequency=868000000)
15/9/2020 0:18:45 msg Discover end 2 2 stats (rx_timestamp=1127571309, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=251, tx_frequency=868000000)
15/9/2020 0:18:49 msg Discover end 2 2 stats (rx_timestamp=1131568301, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=251, tx_frequency=868000000)
15/9/2020 0:18:52 msg Token 30aea458f354 3c71bf877510 3c71bf875fa8 stats (rx_timestamp=1134492567, rssi=-124, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=253, tx_frequency=868000000)
15/9/2020 0:19:53 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=1195001197, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=253, tx_frequency=868000000)
15/9/2020 0:19:53 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=1195684199, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=129, tx_counter=254, tx_frequency=868000000)
15/9/2020 0:20:24 msg Info 30aea458f354 3c71bf877510 150 48 51 30 52 0 1 stats (rx_timestamp=1225922411, rssi=-87, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=255, tx_frequency=868000000)
15/9/2020 0:23:25 msg Info 3c71bf875fa8 3c71bf877510 150 52 52 30 51 0 1 stats (rx_timestamp=1407285032, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=261, tx_frequency=868000000)
15/9/2020 0:23:40 msg Info 3c71bf875fa8 3c71bf877510 150 52 52 30 51 0 1 stats (rx_timestamp=1422526002, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=261, tx_frequency=868000000)
15/9/2020 0:29:58 msg Info 3c71bf875fa8 3c71bf877510 150 48 47 30 50 0 1 stats (rx_timestamp=1800243116, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=274, tx_frequency=868000000)
15/9/2020 0:30:13 msg Info 3c71bf875fa8 3c71bf877510 150 48 47 30 50 0 1 stats (rx_timestamp=1815498075, rssi=-87, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=274, tx_frequency=868000000)
