------------------------
------------------------
------------------------
29/7/2020 11:38:10 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=252451560, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=59, tx_frequency=868000000)
29/7/2020 11:38:14 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=255823510, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=59, tx_frequency=868000000)
29/7/2020 11:38:15 msg Discover normal 4 30aea474cbcc stats (rx_timestamp=257568503, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=59, tx_frequency=868000000)
29/7/2020 11:38:17 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=259367510, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=60, tx_frequency=868000000)
29/7/2020 11:38:19 msg Discover normal 4 30aea474cbcc stats (rx_timestamp=260924490, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=60, tx_frequency=868000000)
29/7/2020 11:38:21 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=262902506, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=61, tx_frequency=868000000)
29/7/2020 11:38:22 msg Discover normal 4 30aea474cbcc stats (rx_timestamp=264275483, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=61, tx_frequency=868000000)
29/7/2020 11:38:26 msg Discover normal 5 30aea474cbcc stats (rx_timestamp=267632478, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=62, tx_frequency=868000000)
29/7/2020 11:38:29 msg Discover normal 5 30aea474cbcc stats (rx_timestamp=271148473, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=63, tx_frequency=868000000)
29/7/2020 11:38:31 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=273133499, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=64, tx_frequency=868000000)
29/7/2020 11:38:32 msg Discover normal 5 30aea474cbcc stats (rx_timestamp=274506475, rssi=-124, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=64, tx_frequency=868000000)
29/7/2020 11:38:34 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=276313500, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=65, tx_frequency=868000000)
29/7/2020 11:38:36 msg Discover normal 5 30aea474cbcc stats (rx_timestamp=277865473, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=65, tx_frequency=868000000)
29/7/2020 11:38:36 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=278470502, rssi=-120, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=65, tx_frequency=868000000)
29/7/2020 11:38:39 msg Discover normal 6 30aea474cbcc stats (rx_timestamp=281224467, rssi=-124, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=66, tx_frequency=868000000)
29/7/2020 11:38:40 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=281827494, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=66, tx_frequency=868000000)
29/7/2020 11:38:43 msg Discover normal 6 30aea474cbcc stats (rx_timestamp=284599457, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=67, tx_frequency=868000000)
29/7/2020 11:38:46 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=288593495, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=68, tx_frequency=868000000)
29/7/2020 11:38:49 msg Discover normal 6 30aea474cbcc stats (rx_timestamp=291525448, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=68, tx_frequency=868000000)
29/7/2020 11:38:53 msg Discover normal 7 30aea474cbcc stats (rx_timestamp=294912452, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=69, tx_frequency=868000000)
29/7/2020 11:38:55 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=296719489, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=70, tx_frequency=868000000)
29/7/2020 11:38:56 msg Discover normal 7 30aea474cbcc stats (rx_timestamp=298449441, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=70, tx_frequency=868000000)
29/7/2020 11:38:58 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=300054484, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=70, tx_frequency=868000000)
29/7/2020 11:39:0 msg Discover normal 7 30aea474cbcc stats (rx_timestamp=301843435, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=71, tx_frequency=868000000)
29/7/2020 11:39:5 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=306959477, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=72, tx_frequency=868000000)
29/7/2020 11:39:6 msg Discover normal 8 30aea474cbcc stats (rx_timestamp=308551427, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=72, tx_frequency=868000000)
29/7/2020 11:39:8 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=310532474, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=73, tx_frequency=868000000)
29/7/2020 11:39:10 msg Discover normal 8 30aea474cbcc stats (rx_timestamp=311940424, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=73, tx_frequency=868000000)
29/7/2020 11:39:13 msg Discover normal 8 30aea474cbcc stats (rx_timestamp=315327411, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=74, tx_frequency=868000000)
29/7/2020 11:39:15 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=317126462, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=75, tx_frequency=868000000)
29/7/2020 11:39:17 msg Discover normal 8 30aea474cbcc stats (rx_timestamp=318705415, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=75, tx_frequency=868000000)
29/7/2020 11:39:20 msg Discover normal 9 30aea474cbcc stats (rx_timestamp=322222404, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=76, tx_frequency=868000000)
29/7/2020 11:39:22 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=323822461, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=76, tx_frequency=868000000)
29/7/2020 11:39:23 msg Discover normal 9 30aea474cbcc stats (rx_timestamp=325580402, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=77, tx_frequency=868000000)
29/7/2020 11:39:24 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=326181455, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=77, tx_frequency=868000000)
29/7/2020 11:39:28 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=330534452, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=78, tx_frequency=868000000)
29/7/2020 11:39:30 msg Discover normal 9 30aea474cbcc stats (rx_timestamp=332282391, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=78, tx_frequency=868000000)
29/7/2020 11:39:31 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=333060447, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=78, tx_frequency=868000000)
29/7/2020 11:39:34 msg Discover normal 10 30aea474cbcc stats (rx_timestamp=335878410, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=79, tx_frequency=868000000)
29/7/2020 11:39:36 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=337694510, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=80, tx_frequency=868000000)
29/7/2020 11:39:37 msg Discover normal 10 30aea474cbcc stats (rx_timestamp=339246407, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=80, tx_frequency=868000000)
29/7/2020 11:39:39 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=341063511, rssi=-119, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=81, tx_frequency=868000000)
29/7/2020 11:39:42 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=343824505, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=81, tx_frequency=868000000)
29/7/2020 11:39:44 msg Discover normal 10 30aea474cbcc stats (rx_timestamp=346434398, rssi=-117, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=81, tx_frequency=868000000)
