0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
29/7/2020 11:37:18 msg Discover normal 13 30aea458f2e4 stats (rx_timestamp=198520603, rssi=-119, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=51, tx_frequency=868000000)
29/7/2020 11:37:21 msg Discover next 12 1 stats (rx_timestamp=201460210, rssi=-115, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=52, tx_frequency=868000000)
29/7/2020 11:37:30 msg Hello 2 30aea458f2e4 stats (rx_timestamp=210520903, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=53, tx_frequency=868000000)
29/7/2020 11:37:32 msg Hello 2 30aea458f2e4 stats (rx_timestamp=213786894, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=54, tx_frequency=868000000)
29/7/2020 11:37:51 msg Hello 2 30aea458f2e4 stats (rx_timestamp=231443487, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=55, tx_frequency=868000000)
29/7/2020 11:37:57 msg Hello 2 30aea458f2e4 stats (rx_timestamp=237464483, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=56, tx_frequency=868000000)
29/7/2020 11:37:59 msg Hello 3 30aea458f2e4 stats (rx_timestamp=240591518, rssi=-124, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=57, tx_frequency=868000000)
29/7/2020 11:38:7 msg Hello 3 30aea458f2e4 stats (rx_timestamp=248090559, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=58, tx_frequency=868000000)
29/7/2020 11:38:16 msg Hello 4 30aea458f2e4 stats (rx_timestamp=257568503, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=59, tx_frequency=868000000)
29/7/2020 11:38:19 msg Hello 4 30aea458f2e4 stats (rx_timestamp=260924490, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=60, tx_frequency=868000000)
29/7/2020 11:38:23 msg Hello 4 30aea458f2e4 stats (rx_timestamp=264275483, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=61, tx_frequency=868000000)
29/7/2020 11:38:26 msg Hello 5 30aea458f2e4 stats (rx_timestamp=267632478, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=62, tx_frequency=868000000)
29/7/2020 11:38:29 msg Hello 5 30aea458f2e4 stats (rx_timestamp=271148473, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=63, tx_frequency=868000000)
29/7/2020 11:38:33 msg Hello 5 30aea458f2e4 stats (rx_timestamp=274506475, rssi=-124, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=64, tx_frequency=868000000)
29/7/2020 11:38:37 msg Hello 5 30aea458f2e4 stats (rx_timestamp=278470502, rssi=-120, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=65, tx_frequency=868000000)
29/7/2020 11:38:41 msg Hello 6 30aea458f2e4 stats (rx_timestamp=281827494, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=66, tx_frequency=868000000)
29/7/2020 11:38:43 msg Hello 6 30aea458f2e4 stats (rx_timestamp=284599457, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=67, tx_frequency=868000000)
29/7/2020 11:38:50 msg Hello 6 30aea458f2e4 stats (rx_timestamp=291525448, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=68, tx_frequency=868000000)
29/7/2020 11:38:53 msg Hello 7 30aea458f2e4 stats (rx_timestamp=294912452, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=69, tx_frequency=868000000)
29/7/2020 11:38:58 msg Hello 7 30aea458f2e4 stats (rx_timestamp=298449441, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=70, tx_frequency=868000000)
29/7/2020 11:39:0 msg Hello 7 30aea458f2e4 stats (rx_timestamp=301843435, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=71, tx_frequency=868000000)
29/7/2020 11:39:7 msg Hello 8 30aea458f2e4 stats (rx_timestamp=308551427, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=72, tx_frequency=868000000)
29/7/2020 11:39:10 msg Hello 8 30aea458f2e4 stats (rx_timestamp=311940424, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=73, tx_frequency=868000000)
