=4, tx_time_on_air=103, tx_counter=615, tx_frequency=868000000)
29/7/2020 11:36:14 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1188323516, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=694, tx_frequency=868000000)
29/7/2020 11:36:17 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1191398520, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=695, tx_frequency=868000000)
29/7/2020 11:36:21 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1194471522, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=696, tx_frequency=868000000)
29/7/2020 11:36:24 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1197547521, rssi=-117, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=697, tx_frequency=868000000)
29/7/2020 11:36:27 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1200794439, rssi=-117, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=698, tx_frequency=868000000)
29/7/2020 11:36:30 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1203877439, rssi=-117, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=699, tx_frequency=868000000)
29/7/2020 11:36:33 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1206959442, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=700, tx_frequency=868000000)
29/7/2020 11:36:39 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1213077486, rssi=-116, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=701, tx_frequency=868000000)
29/7/2020 11:36:43 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1216159486, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=702, tx_frequency=868000000)
29/7/2020 11:36:45 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1219238496, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=703, tx_frequency=868000000)
29/7/2020 11:36:49 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1222322498, rssi=-118, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=704, tx_frequency=868000000)
29/7/2020 11:36:52 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1225403539, rssi=-114, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=705, tx_frequency=868000000)
29/7/2020 11:36:55 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1228478531, rssi=-115, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=706, tx_frequency=868000000)
29/7/2020 11:36:58 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1231569536, rssi=-114, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=707, tx_frequency=868000000)
29/7/2020 11:37:1 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=1234823536, rssi=-115, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=708, tx_frequency=868000000)
29/7/2020 11:37:5 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1237923534, rssi=-113, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=709, tx_frequency=868000000)
29/7/2020 11:37:7 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1241165537, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=710, tx_frequency=868000000)
29/7/2020 11:37:11 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1244256537, rssi=-115, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=711, tx_frequency=868000000)
29/7/2020 11:37:14 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=1247337535, rssi=-113, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=712, tx_frequency=868000000)
29/7/2020 11:37:17 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1250427498, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=713, tx_frequency=868000000)
29/7/2020 11:37:20 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1253505499, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=714, tx_frequency=868000000)
29/7/2020 11:37:26 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=1259459501, rssi=-112, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=715, tx_frequency=868000000)
29/7/2020 11:37:31 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1265403461, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=716, tx_frequency=868000000)
29/7/2020 11:37:36 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1268694461, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=717, tx_frequency=868000000)
29/7/2020 11:37:39 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=1271945462, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=718, tx_frequency=868000000)
29/7/2020 11:37:41 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1275100543, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=719, tx_frequency=868000000)
29/7/2020 11:37:45 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1278606382, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=720, tx_frequency=868000000)
29/7/2020 11:37:51 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=1284343548, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=721, tx_frequency=868000000)
29/7/2020 11:37:55 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1287666546, rssi=-111, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=722, tx_frequency=868000000)
29/7/2020 11:37:57 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=1290980554, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=723, tx_frequency=868000000)
