------------------------
------------------------
------------------------
27/7/2020 9:33:23 msg Hay buena cobertura con la residencia 495 stats (rx_timestamp=27118618, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=7, tx_frequency=868000000)
27/7/2020 9:33:26 msg Hay buena cobertura con la residencia 497 stats (rx_timestamp=30244615, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=8, tx_frequency=868000000)
27/7/2020 9:33:29 msg Hay buena cobertura con la residencia 500 stats (rx_timestamp=33488573, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=9, tx_frequency=868000000)
27/7/2020 9:33:33 msg Hay buena cobertura con la residencia 501 stats (rx_timestamp=37327531, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=11, tx_frequency=868000000)
27/7/2020 9:33:36 msg Hay buena cobertura con la residencia 502 stats (rx_timestamp=40449571, rssi=-100, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=12, tx_frequency=868000000)
27/7/2020 9:33:39 msg Hay buena cobertura con la residencia 503 stats (rx_timestamp=43692608, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=13, tx_frequency=868000000)
27/7/2020 9:33:43 msg Hay buena cobertura con la residencia 504 stats (rx_timestamp=47531604, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=15, tx_frequency=868000000)
27/7/2020 9:33:46 msg Hay buena cobertura con la residencia 505 stats (rx_timestamp=50845605, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=16, tx_frequency=868000000)
27/7/2020 9:33:50 msg Hay buena cobertura con la residencia 506 stats (rx_timestamp=54875561, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=18, tx_frequency=868000000)
27/7/2020 9:33:54 msg Hay buena cobertura con la residencia 507 stats (rx_timestamp=58014553, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=19, tx_frequency=868000000)
27/7/2020 9:33:57 msg Hay buena cobertura con la residencia 508 stats (rx_timestamp=61220551, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=20, tx_frequency=868000000)
27/7/2020 9:34:1 msg Hay buena cobertura con la residencia 509 stats (rx_timestamp=65046595, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=22, tx_frequency=868000000)
27/7/2020 9:34:4 msg Hay buena cobertura con la residencia 510 stats (rx_timestamp=68334677, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=23, tx_frequency=868000000)
27/7/2020 9:34:11 msg Hay buena cobertura con la residencia 511 stats (rx_timestamp=75457586, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=26, tx_frequency=868000000)
