------------------------
15/9/2020 0:28:30 msg Discover normal 3 3c71bf875fa8 stats (rx_timestamp=1713145439, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=208, tx_frequency=868000000)
15/9/2020 0:28:32 msg Discover normal 3 3c71bf875fa8 stats (rx_timestamp=1713145439, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=209, tx_frequency=868000000)
15/9/2020 0:28:35 msg Discover normal 3 3c71bf875fa8 stats (rx_timestamp=1713145439, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=210, tx_frequency=868000000)
15/9/2020 0:28:38 msg Discover normal 3 3c71bf875fa8 stats (rx_timestamp=1723851447, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=211, tx_frequency=868000000)
15/9/2020 0:28:40 msg Discover next 4 0 stats (rx_timestamp=1726523455, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=98, tx_counter=212, tx_frequency=868000000)
15/9/2020 0:28:49 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1736175443, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=78, tx_counter=213, tx_frequency=868000000)
15/9/2020 0:28:54 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1741519416, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=214, tx_frequency=868000000)
15/9/2020 0:29:1 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1746902388, rssi=-118, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=215, tx_frequency=868000000)
15/9/2020 0:29:10 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1757610234, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=216, tx_frequency=868000000)
15/9/2020 0:29:13 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1760291266, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=217, tx_frequency=868000000)
15/9/2020 0:29:17 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1762966243, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=218, tx_frequency=868000000)
15/9/2020 0:29:18 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1765642224, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=219, tx_frequency=868000000)
