15/9/2020 0:30:9 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=1816595971, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=234, tx_frequency=868000000)
15/9/2020 0:30:12 msg Discover normal 10 3c71bf877510 stats (rx_timestamp=1819271953, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=235, tx_frequency=868000000)
15/9/2020 0:30:15 msg Discover normal 10 3c71bf877510 stats (rx_timestamp=1821948933, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=236, tx_frequency=868000000)
15/9/2020 0:30:17 msg Discover normal 10 3c71bf877510 stats (rx_timestamp=1824630923, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=237, tx_frequency=868000000)
15/9/2020 0:30:20 msg Discover normal 11 3c71bf877510 stats (rx_timestamp=1827305908, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=238, tx_frequency=868000000)
15/9/2020 0:30:23 msg Discover normal 11 3c71bf877510 stats (rx_timestamp=1829982893, rssi=-109, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=239, tx_frequency=868000000)
15/9/2020 0:30:25 msg Discover normal 11 3c71bf877510 stats (rx_timestamp=1832658875, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=240, tx_frequency=868000000)
15/9/2020 0:30:28 msg Discover normal 11 3c71bf877510 stats (rx_timestamp=1835340859, rssi=-108, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=241, tx_frequency=868000000)
15/9/2020 0:30:31 msg Discover normal 12 3c71bf877510 stats (rx_timestamp=1838016850, rssi=-108, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=242, tx_frequency=868000000)
15/9/2020 0:30:33 msg Discover normal 12 3c71bf877510 stats (rx_timestamp=1840693827, rssi=-106, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=243, tx_frequency=868000000)
15/9/2020 0:30:36 msg Discover normal 12 3c71bf877510 stats (rx_timestamp=1843369810, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=244, tx_frequency=868000000)
15/9/2020 0:30:39 msg Discover normal 12 3c71bf877510 stats (rx_timestamp=1846053807, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=245, tx_frequency=868000000)
15/9/2020 0:30:40 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=1847274617, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=246, tx_frequency=868000000)
15/9/2020 0:30:41 msg Hello 13 30aea458f354 stats (rx_timestamp=1848731779, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:30:44 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=1851436770, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:30:47 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=1854113756, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:30:49 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=1856760184, rssi=-117, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=249, tx_frequency=868000000)
15/9/2020 0:30:52 msg Discover end 2 1 stats (rx_timestamp=1858883170, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=250, tx_frequency=868000000)
