stats (rx_timestamp=2709322498, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6210, tx_frequency=868000000)
17/7/2020 4:24:6 msg Hay buena cobertura con mateu orfila 4054 stats (rx_timestamp=2968301586, rssi=-112, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6312, tx_frequency=868000000)
17/7/2020 4:24:15 msg Hay buena cobertura con mateu orfila 4055 stats (rx_timestamp=2976655510, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6315, tx_frequency=868000000)
17/7/2020 4:24:19 msg Hay buena cobertura con mateu orfila 4056 stats (rx_timestamp=2980833536, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6317, tx_frequency=868000000)
17/7/2020 4:24:27 msg Hay buena cobertura con mateu orfila 4058 stats (rx_timestamp=2989188505, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6320, tx_frequency=868000000)
17/7/2020 4:24:31 msg Hay buena cobertura con mateu orfila 4059 stats (rx_timestamp=2993365449, rssi=-109, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6322, tx_frequency=868000000)
17/7/2020 4:24:40 msg Hay buena cobertura con mateu orfila 4061 stats (rx_timestamp=3001719418, rssi=-106, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6325, tx_frequency=868000000)
17/7/2020 4:24:44 msg Hay buena cobertura con mateu orfila 4062 stats (rx_timestamp=3005896408, rssi=-109, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6327, tx_frequency=868000000)
17/7/2020 4:24:52 msg Hay buena cobertura con mateu orfila 4064 stats (rx_timestamp=3014251416, rssi=-111, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6330, tx_frequency=868000000)
17/7/2020 4:24:56 msg Hay buena cobertura con mateu orfila 4065 stats (rx_timestamp=3018429353, rssi=-108, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6332, tx_frequency=868000000)
17/7/2020 4:25:5 msg Hay buena cobertura con mateu orfila 4067 stats (rx_timestamp=3026783370, rssi=-109, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6335, tx_frequency=868000000)
17/7/2020 4:25:9 msg Hay buena cobertura con mateu orfila 4068 stats (rx_timestamp=3030960320, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6337, tx_frequency=868000000)
17/7/2020 4:25:13 msg Hay buena cobertura con mateu orfila 4070 stats (rx_timestamp=3035137345, rssi=-110, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6339, tx_frequency=868000000)
17/7/2020 4:25:17 msg Hay buena cobertura con mateu orfila 4071 stats (rx_timestamp=3039315332, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6340, tx_frequency=868000000)
17/7/2020 4:25:21 msg Hay buena cobertura con mateu orfila 4072 stats (rx_timestamp=3043492320, rssi=-112, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6342, tx_frequency=868000000)
17/7/2020 4:25:30 msg Hay buena cobertura con mateu orfila 4073 stats (rx_timestamp=3051847203, rssi=-112, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6345, tx_frequency=868000000)
17/7/2020 4:25:34 msg Hay buena cobertura con mateu orfila 4074 stats (rx_timestamp=3056024241, rssi=-111, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6347, tx_frequency=868000000)
17/7/2020 4:25:46 msg Hay buena cobertura con mateu orfila 4076 stats (rx_timestamp=3068555242, rssi=-111, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6352, tx_frequency=868000000)
17/7/2020 4:25:51 msg Hay buena cobertura con mateu orfila 4077 stats (rx_timestamp=3072732240, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6354, tx_frequency=868000000)
17/7/2020 4:25:55 msg Hay buena cobertura con mateu orfila 4080 stats (rx_timestamp=3076909221, rssi=-109, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6355, tx_frequency=868000000)
17/7/2020 4:26:3 msg Hay buena cobertura con mateu orfila 4081 stats (rx_timestamp=3085263161, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6359, tx_frequency=868000000)
17/7/2020 4:26:7 msg Hay buena cobertura con mateu orfila 4082 stats (rx_timestamp=3089440148, rssi=-110, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6360, tx_frequency=868000000)
